"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9037","Register-Vaild To validate the registration functionallity","","2026-08-27","passed","2026-08-27","","","",""
"","8763","Login-Invalid To validate the login functionallity with Invalid Credentials","","2026-08-27","passed","2026-08-27","","","",""
"","9663","Register-Invalid To validate the registration functionallity","","2026-08-27","passed","2026-08-27","","","",""
"","9714","Login-Vaild To validate the login functionallity with Invalid Credentials","","2026-08-27","passed","2026-08-27","","","",""
